,country,expected_years_of_schooling
2249,Guatemala,8.081954139
6144,Zambia,7.529059887
2446,Hungary,14.97251987
1088,Cameroon,8.152429581
3647,Marshall Islands,10.2393198
2622,Iraq,12.08747317
4192,Nepal,7.460750103
1907,Micronesia,11.1116645
3987,Malaysia,12.6348896
6043,Vanuatu,11.40801004
2774,Jordan,11.13696957
5133,Sao Tome and Principe,9.37994957
1978,United Kingdom,17.41354465
1322,Cuba,12.33483982
5327,Seychelles,13.06902027
292,Austria,14.75572014
145,United Arab Emirates,12.35162121
4489,Papua New Guinea,5.592510934
1114,Cameroon,12.10426044
1370,Cyprus,14.74003983
1948,Gabon,12.9
5439,Togo,12.95049378
5232,Slovenia,16.86500931
2794,Japan,14.19752626
72,Albania,10.66944027
1436,Germany,16.93209076
774,Barbados,13.59114329
1037,China,10.48619423
931,Canada,16.8500309
5199,Slovakia,14.20277023
5880,United States of America,16.14966011
4846,Senegal,6.49105978
2883,Kyrgyzstan,11.25551987
5288,Eswatini,10.03640683
1471,Djibouti,7.43298
2484,Indonesia,12.33273029
4323,Pakistan,4.789060739
4519,Poland,13.7794199
3029,South Korea,16.87137985
3271,Sri Lanka,12.06216532
4242,Nauru,9.56649971
1459,Djibouti,5.583350182
848,Bhutan,9.828700066
3764,Myanmar,8.881032944
1343,Cuba,14.44305992
5922,Saint Vincent and the Grenadines,11.91309241
695,Belize,12.75833035
3818,Mongolia,9.397629738
