,country,human_development_index,gross_national_income_per_capita_2017_ppp_log,median_age_as_of_july_1st_years,mean_years_of_schooling,rate_of_natural_change_per_1000_population,net_reproduction_rate_surviving_daughters_per_woman,adolescent_birth_rate_per_1000_women_ages_15_19,total_fertility_rate_live_births_per_woman,crude_birth_rate_births_per_1000_population
5814,Ukraine,False,False,False,False,False,False,False,False,False
1332,Cuba,False,False,False,False,False,False,False,False,False
3995,Malaysia,False,False,False,False,False,False,False,False,False
1994,Georgia,False,False,False,False,False,False,False,False,False
4602,Portugal,False,False,False,False,False,False,False,False,False
4714,Russian Federation,False,False,False,False,False,False,False,False,False
5544,Timor-Leste,True,False,False,True,False,False,False,False,False
5274,Sweden,False,False,False,False,False,False,False,False,False
2889,Kyrgyzstan,False,False,False,False,False,False,False,False,False
5196,Slovakia,False,False,False,False,False,False,False,False,False
3070,Kuwait,False,False,False,False,False,False,False,False,False
3817,Mongolia,False,False,False,False,False,False,False,False,False
6177,Zimbabwe,False,False,False,False,False,False,False,False,False
2934,Cambodia,False,False,False,False,False,False,False,False,False
1506,Denmark,False,False,False,False,False,False,False,False,False
2117,Guinea-Bissau,True,False,False,True,False,False,False,False,False
3315,Lesotho,False,False,False,False,False,False,False,False,False
3274,Sri Lanka,False,False,False,False,False,False,False,False,False
4177,Norway,False,False,False,False,False,False,False,False,False
1118,Cameroon,False,False,False,False,False,False,False,False,False
82,Albania,False,False,False,False,False,False,False,False,False
2109,Gambia,False,False,False,False,False,False,False,False,False
2780,Jordan,False,False,False,False,False,False,False,False,False
3593,Mexico,False,False,False,False,False,False,False,False,False
640,Belarus,True,False,False,True,False,False,False,False,False
5600,Trinidad and Tobago,False,False,False,False,False,False,False,False,False
4936,Sierra Leone,False,False,False,False,False,False,False,False,False
2094,Gambia,False,False,False,False,False,False,False,False,False
875,Botswana,False,False,False,False,False,False,False,False,False
4596,Portugal,False,False,False,False,False,False,False,False,False
3321,Lesotho,False,False,False,False,False,False,False,False,False
5168,Suriname,False,False,False,False,False,False,False,False,False
5161,Suriname,True,False,False,True,False,False,False,False,False
1778,Ethiopia,False,False,False,False,False,False,False,False,False
4838,Senegal,False,False,False,False,False,False,False,False,False
4316,Oman,False,False,False,False,False,False,False,False,False
2299,Guyana,False,False,False,False,False,False,False,False,False
57,Angola,False,False,False,False,False,False,False,False,False
3541,Madagascar,False,False,False,False,False,False,False,False,False
2945,Kiribati,True,False,False,True,False,False,False,False,False
4332,Pakistan,False,False,False,False,False,False,False,False,False
1241,Comoros,False,False,False,False,False,False,False,False,False
2857,Kenya,False,False,False,False,False,False,False,False,False
4459,Palau,False,False,False,False,False,False,False,False,False
3682,Mali,False,False,False,False,False,False,False,False,False
4081,Nigeria,False,False,False,False,False,False,False,False,False
1416,Germany,False,False,False,False,False,False,False,False,False
2667,Israel,False,False,False,False,False,False,False,False,False
3182,Libya,False,False,False,False,False,False,False,False,False
1297,Costa Rica,False,False,False,False,False,False,False,False,False
2695,Italy,False,False,False,False,False,False,False,False,False
1855,Fiji,False,False,False,False,False,False,False,False,False
4532,Poland,False,False,False,False,False,False,False,False,False
2191,Greece,False,False,False,False,False,False,False,False,False
2098,Gambia,False,False,False,False,False,False,False,False,False
2600,Iraq,False,False,False,False,False,False,False,False,False
2584,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
2513,India,False,False,False,False,False,False,False,False,False
2258,Guatemala,False,False,False,False,False,False,False,False,False
2590,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
3692,Mali,False,False,False,False,False,False,False,False,False
3567,Maldives,False,False,False,False,False,False,False,False,False
1277,Cabo Verde,False,False,False,False,False,False,False,False,False
4371,Panama,False,False,False,False,False,False,False,False,False
4324,Pakistan,False,False,False,False,False,False,False,False,False
6189,Zimbabwe,False,False,False,False,False,False,False,False,False
5203,Slovakia,False,False,False,False,False,False,False,False,False
3534,Madagascar,False,False,False,False,False,False,False,False,False
1497,Dominica,False,False,False,False,False,False,False,False,False
4536,Poland,False,False,False,False,False,False,False,False,False
782,Barbados,False,False,False,False,False,False,False,False,False
2519,India,False,False,False,False,False,False,False,False,False
4893,Singapore,False,False,False,False,False,False,False,False,False
5213,Slovakia,False,False,False,False,False,False,False,False,False
4298,Oman,False,False,False,False,False,False,False,False,False
5078,Serbia,False,False,False,False,False,False,False,False,False
2730,Jamaica,False,False,False,False,False,False,False,False,False
589,Bahamas,False,False,False,False,False,False,False,False,False
846,Bhutan,True,False,False,True,False,False,False,False,False
2489,Indonesia,False,False,False,False,False,False,False,False,False
2175,Equatorial Guinea,False,False,False,False,False,False,False,False,False
711,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
557,Bahrain,False,False,False,False,False,False,False,False,False
5331,Seychelles,False,False,False,False,False,False,False,False,False
2193,Greece,False,False,False,False,False,False,False,False,False
3539,Madagascar,False,False,False,False,False,False,False,False,False
4777,Saudi Arabia,False,False,False,False,False,False,False,False,False
3200,Saint Lucia,False,False,False,False,False,False,False,False,False
2450,Hungary,False,False,False,False,False,False,False,False,False
353,Burundi,False,False,False,False,False,False,False,False,False
4076,Nigeria,True,False,False,True,False,False,False,False,False
2154,Equatorial Guinea,False,False,False,False,False,False,False,False,False
4924,Solomon Islands,False,False,False,False,False,False,False,False,False
1085,Côte d'Ivoire,False,False,False,False,False,False,False,False,False
1272,Cabo Verde,False,False,False,False,False,False,False,False,False
4009,Namibia,False,False,False,False,False,False,False,False,False
0,Afghanistan,False,False,False,False,False,False,False,False,False
3506,Moldova,False,False,False,False,False,False,False,False,False
223,Armenia,False,False,False,False,False,False,False,False,False
5707,Tuvalu,False,False,False,False,False,False,False,False,False
4410,Peru,False,False,False,False,False,False,False,False,False
4957,Sierra Leone,False,False,False,False,False,False,False,False,False
1831,Fiji,False,False,False,False,False,False,False,False,False
6141,South Africa,False,False,False,False,False,False,False,False,False
1536,Dominican Republic,False,False,False,False,False,False,False,False,False
4739,Rwanda,True,False,False,False,False,False,False,False,False
338,Azerbaijan,False,False,False,False,False,False,False,False,False
2157,Equatorial Guinea,False,False,False,False,False,False,False,False,False
5590,Tonga,False,False,False,False,False,False,False,False,False
188,Argentina,False,False,False,False,False,False,False,False,False
4751,Rwanda,False,False,False,False,False,False,False,False,False
435,Benin,False,False,False,False,False,False,False,False,False
6083,Yemen,False,False,False,False,False,False,False,False,False
1166,Congo,False,False,False,False,False,False,False,False,False
2294,Guyana,False,False,False,False,False,False,False,False,False
2524,India,False,False,False,False,False,False,False,False,False
2007,Georgia,False,False,False,False,False,False,False,False,False
3917,Mauritius,False,False,False,False,False,False,False,False,False
6042,Vanuatu,False,False,False,False,False,False,False,False,False
664,Belarus,False,False,False,False,False,False,False,False,False
3162,Liberia,False,False,False,False,False,False,False,False,False
3515,Moldova,False,False,False,False,False,False,False,False,False
101,Andorra,True,False,False,True,False,False,False,False,False
3676,North Macedonia,False,False,False,False,False,False,False,False,False
3158,Liberia,False,False,False,False,False,False,False,False,False
2534,Ireland,False,False,False,False,False,False,False,False,False
3183,Libya,False,False,False,False,False,False,False,False,False
2085,Gambia,False,False,False,False,False,False,False,False,False
1476,Dominica,True,False,False,True,False,False,False,False,False
2853,Kenya,False,False,False,False,False,False,False,False,False
3122,Lebanon,False,False,False,False,False,False,False,False,False
4290,Oman,True,False,False,True,False,False,False,False,False
1832,Fiji,False,False,False,False,False,False,False,False,False
4731,Russian Federation,False,False,False,False,False,False,False,False,False
6160,Zambia,False,False,False,False,False,False,False,False,False
3528,Madagascar,True,False,False,True,False,False,False,False,False
5722,Tuvalu,False,False,False,False,False,False,False,False,False
